# Tuning hyper-parameters for precision

Best parameters set found on development set:
{'criterion': 'gini', 'max_depth': 21, 'n_estimators': 50}
----------
Grid scores on development set:
0.888 (+/-0.026) for {'criterion': 'entropy', 'max_depth': 21, 'n_estimators': 500}
0.786 (+/-0.027) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 50}
0.786 (+/-0.030) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 100}
0.787 (+/-0.036) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 150}
0.786 (+/-0.033) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 200}
0.784 (+/-0.034) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 250}
0.784 (+/-0.032) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 300}
0.785 (+/-0.034) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 400}
0.785 (+/-0.035) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 500}
0.826 (+/-0.035) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 50}
0.828 (+/-0.034) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 100}
